현장코드,섹션,순서,카테고리,제목,타입명,설명,특징,전용면적,구조,이미지파일명,아이콘파일명
A001,premium,1,,초역세권,,더블역 도보 3분 거리의 초역세권 입지,,,,premium-01.jpg,
A001,premium,2,,프리미엄 커뮤니티,,피트니스·라운지·키즈존 등 다양한 커뮤니티 시설,,,,premium-02.jpg,
A001,location,1,교통,더블역 환승,,3호선·9호선 더블역 환승 이용 가능,,,,,
A001,location,2,교육,명문 학군,,초·중·고 우수 학군 인접,,,,,
A001,location,3,생활,생활 인프라,,대형마트·병원·공원 인접,,,,,
A001,location,4,개발호재,개발 호재,,OO 개발계획에 따른 미래 가치 기대,,,,,
A001,floorplan,1,,,59A,알파룸·드레스룸 구성,전용 59.98㎡,3Bay,floorplan-01.jpg,
A001,floorplan,2,,,84B,4Bay 판상형 구성,전용 84.12㎡,4Bay,floorplan-02.jpg,
A001,future,1,,도시재생,,광역 개발계획에 따른 지역 가치 상승 기대,,,,premium-01.jpg,
A001,future,2,,교통망 확충,, GTX·지하철 연장 등 교통 인프라 확대,,,,premium-02.jpg,
A001,layout,1,,단지배치도,,최적 동·호 배치와 쾌적한 단지 설계,,,,overview.jpg,
A001,community,1,,피트니스,,최신 운동기구를 갖춘 프리미엄 피트니스,,,,premium-01.jpg,
A001,community,2,,키즈존,,아이들을 위한 안전하고 쾌적한 놀이 공간,,,,premium-02.jpg,
